repo,pr_number,author,diff_hunk,review_comment,label
tiangolo/fastapi,15150,dependabot[bot],,"## 📝 Docs preview

Last commit f3b69173c48e9e22d20d2e0e80df8f827923a001 at: https://bcaaf55c.fastapitiangolo.pages.dev",
pandas-dev/pandas,61828,eicchen,"@@ -8491,7 +8491,10 @@ def to_series(right):
             # pass dtype to avoid doing inference, which would break consistency
             #  with Index/Series ops
             dtype = None
-            if getattr(right, ""dtype"", None) == object:
+            if (
+                getattr(right, ""dtype"", None) == ""object""
+                or getattr(right, ""dtype"", None) == object","Yeah idk what I was thinking back then tbh, I'll go ahead and revert this",
django/django,20308,VIZZARD-X,"@@ -329,3 +330,27 @@ def test_timedelta(self):
             json.dumps({""duration"": duration}, cls=DjangoJSONEncoder),
             '{""duration"": ""P0DT00H00M00S""}',
         )
+
+
+def test_deterministic_m2m_natural_key_ordering(self, format_):
+    jane = Author.objects.create(name=""Jane"")
+    article = Article.objects.create(
+        author=jane,
+        headline=""Deterministic M2M Ordering"",
+        pub_date=datetime.datetime(2006, 6, 16, 11, 00),
+    )
+    m1 = CategoryMetaData.objects.create(kind=""Alpha_Kind"")
+    m2 = CategoryMetaData.objects.create(kind=""Bravo_Kind"")
+    article.meta_data.add(m2, m1)
+    with mock.patch.object(
+        models.QuerySet, ""order_by"", side_effect=models.QuerySet.order_by, autospec=True
+    ) as mock_order_by:
+        serializers.serialize(format_, [article], use_natural_foreign_keys=True)
+        mock_order_by.assert_any_call(mock.ANY, ""pk"")
+
+
+register_tests(","I had originally placed it here because I was aiming to test the determinism on just one serializer to keep things minimal, but I wrote the test itself generically.

Would you prefer I move this generic test over to ``tests/serializers/test_natural.py`` and register it there, or should I move it into ``tests.py`` so it properly registers across all serialization formats?",
django/django,21035,smithdc1,"@@ -7296,17 +7296,28 @@ def test_use_fieldset_fields_render(self):
             ""Difficulty:"",
             ""Materials:"",
             ""Start datetime:"",
-            ""Categories:"",
         ]
         url = reverse(""admin:admin_views_course_change"", args=(course.pk,))
         self.selenium.get(self.live_server_url + url)
         fieldsets = self.selenium.find_elements(
             By.CSS_SELECTOR, ""fieldset.aligned fieldset""
         )
+        self.assertEqual(len(fieldsets), 3)",The test passed even though categories is no longer a fieldset. That's because `fieldsets` reduced in length to 3 and there was no assertion to make sure all of the items in `expected_legend_tags_text` were used. ,
pandas-dev/pandas,61828,eicchen,,"It looks like the change might have inadvertently changed some behavior that I don't know if I should keep or not.

It reverts the error message that is expected in the test_period_add_timestamp_raises test back to what it was pre-resolution-inference according to your comment from a year ago.

And it makes the test_add_strings in test_string.py return a success, rather than the xfail that it was supposed to be. test_add_frame unfortunately still fails though so I don't know if I should purposefully break it to keep the actions in line with each other. I read the linked issue but don't think there was a consensus (#28527 )

",
tiangolo/fastapi,15165,tiangolo,,"<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->
## Merging this PR will **not alter performance**




`✅ 20` untouched benchmarks  



---

<sub>Comparing <code>translate-fr-update-outdated-01631f93</code> (381f15e) with <code>master</code> (6e5e942)[^unexpected-base]</sub>

<a href=""https://codspeed.io/fastapi/fastapi/branches/translate-fr-update-outdated-01631f93?utm_source=github&utm_medium=comment-v2&utm_content=button"">
  <picture>
    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">
    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">
    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">
  </picture>
</a>

[^unexpected-base]: No successful run was found on <code>master</code> (b707bb8) during the generation of this report, so 6e5e942 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.
",
django/django,20308,VIZZARD-X,,"#### Uncovered lines in changed files

```
-------------
django/core/serializers/python.py (100%)
django/core/serializers/xml_serializer.py (100%)
-------------
Total:   16 lines
Missing: 0 lines
Coverage: 100%
-------------

```
**Note:** Missing lines are warnings only. Some database-specific lines may not be measured. [More information](https://docs.djangoproject.com/en/dev/internals/contributing/writing-code/unit-tests/#code-coverage-on-pull-requests)",
scrapy/scrapy,7283,jhamze7,"@@ -48,6 +50,49 @@
 logger = logging.getLogger(__name__)
 
 
+def _is_dns_error(exc: BaseException) -> bool:",But how is this related to this PR?,
psf/requests,6667,agubelu,,"I am being to see the error `Segmentation fault` after upgrading the `requests` to `v2.32.0`. I tried version `v2.31.0`, `v2.32.0`, `v2.32.1`, `v2.32.2` and `v2.32.3`. and seeing  same error with all versions after `v2.32.0`. but no problem with `v2.31.0`
I am not sure if this problem is related to SSLContext  thread safe, but my code is indeed running under `concurrent.futures`.
And after adding `faulthandler.enable()` into my code, I saw the trace is below, looks like it is related to ssl context
```
File ""/opt/vpnaas/lib64/python3.11/site-packages/urllib3/util/ssl_.py"", line 418 in ssl_wrap_socket
  File ""/opt/vpnaas/lib64/python3.11/site-packages/urllib3/connection.py"", line 419 in connect
  File ""/opt/vpnaas/lib64/python3.11/site-packages/urllib3/connectionpool.py"", line 1058 in _validate_conn
  File ""/opt/vpnaas/lib64/python3.11/site-packages/urllib3/connectionpool.py"", line 404 in _make_request
  File ""/opt/vpnaas/lib64/python3.11/site-packages/urllib3/connectionpool.py"", line 715 in urlopen
  File ""/opt/vpnaas/lib64/python3.11/site-packages/requests/adapters.py"", line 564 in send
  File ""/opt/vpnaas/lib64/python3.11/site-packages/requests/sessions.py"", line 703 in send
  File ""/opt/vpnaas/lib64/python3.11/site-packages/requests/sessions.py"", line 589 in request
  File ""/opt/vpnaas/lib64/python3.11/site-packages/requests/api.py"", line 59 in request
  File ""/opt/vpnaas/lib64/python3.11/site-packages/requests/api.py"", line 73 in get
```",
tiangolo/fastapi,15170,tiangolo,,"## 📝 Docs preview

Last commit 32c3f88fcc6ff0352ed094b492b312dbfdf82126 at: https://c88f7dcb.fastapitiangolo.pages.dev

### Modified Pages

* https://c88f7dcb.fastapitiangolo.pages.dev/ko/ - ([before](https://fastapi.tiangolo.com/ko/)) - ([English](https://fastapi.tiangolo.com/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/_llm-test/ - ([before](https://fastapi.tiangolo.com/ko/_llm-test/)) - ([English](https://fastapi.tiangolo.com/_llm-test/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/ - ([before](https://fastapi.tiangolo.com/ko/advanced/)) - ([English](https://fastapi.tiangolo.com/advanced/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/additional-responses/ - ([before](https://fastapi.tiangolo.com/ko/advanced/additional-responses/)) - ([English](https://fastapi.tiangolo.com/advanced/additional-responses/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/additional-status-codes/ - ([before](https://fastapi.tiangolo.com/ko/advanced/additional-status-codes/)) - ([English](https://fastapi.tiangolo.com/advanced/additional-status-codes/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/advanced-dependencies/ - ([before](https://fastapi.tiangolo.com/ko/advanced/advanced-dependencies/)) - ([English](https://fastapi.tiangolo.com/advanced/advanced-dependencies/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/async-tests/ - ([before](https://fastapi.tiangolo.com/ko/advanced/async-tests/)) - ([English](https://fastapi.tiangolo.com/advanced/async-tests/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/behind-a-proxy/ - ([before](https://fastapi.tiangolo.com/ko/advanced/behind-a-proxy/)) - ([English](https://fastapi.tiangolo.com/advanced/behind-a-proxy/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/custom-response/ - ([before](https://fastapi.tiangolo.com/ko/advanced/custom-response/)) - ([English](https://fastapi.tiangolo.com/advanced/custom-response/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/dataclasses/ - ([before](https://fastapi.tiangolo.com/ko/advanced/dataclasses/)) - ([English](https://fastapi.tiangolo.com/advanced/dataclasses/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/events/ - ([before](https://fastapi.tiangolo.com/ko/advanced/events/)) - ([English](https://fastapi.tiangolo.com/advanced/events/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/generate-clients/ - ([before](https://fastapi.tiangolo.com/ko/advanced/generate-clients/)) - ([English](https://fastapi.tiangolo.com/advanced/generate-clients/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/middleware/ - ([before](https://fastapi.tiangolo.com/ko/advanced/middleware/)) - ([English](https://fastapi.tiangolo.com/advanced/middleware/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/openapi-callbacks/ - ([before](https://fastapi.tiangolo.com/ko/advanced/openapi-callbacks/)) - ([English](https://fastapi.tiangolo.com/advanced/openapi-callbacks/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/openapi-webhooks/ - ([before](https://fastapi.tiangolo.com/ko/advanced/openapi-webhooks/)) - ([English](https://fastapi.tiangolo.com/advanced/openapi-webhooks/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/path-operation-advanced-configuration/ - ([before](https://fastapi.tiangolo.com/ko/advanced/path-operation-advanced-configuration/)) - ([English](https://fastapi.tiangolo.com/advanced/path-operation-advanced-configuration/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/response-change-status-code/ - ([before](https://fastapi.tiangolo.com/ko/advanced/response-change-status-code/)) - ([English](https://fastapi.tiangolo.com/advanced/response-change-status-code/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/response-cookies/ - ([before](https://fastapi.tiangolo.com/ko/advanced/response-cookies/)) - ([English](https://fastapi.tiangolo.com/advanced/response-cookies/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/response-directly/ - ([before](https://fastapi.tiangolo.com/ko/advanced/response-directly/)) - ([English](https://fastapi.tiangolo.com/advanced/response-directly/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/response-headers/ - ([before](https://fastapi.tiangolo.com/ko/advanced/response-headers/)) - ([English](https://fastapi.tiangolo.com/advanced/response-headers/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/security/ - ([before](https://fastapi.tiangolo.com/ko/advanced/security/)) - ([English](https://fastapi.tiangolo.com/advanced/security/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/security/http-basic-auth/ - ([before](https://fastapi.tiangolo.com/ko/advanced/security/http-basic-auth/)) - ([English](https://fastapi.tiangolo.com/advanced/security/http-basic-auth/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/security/oauth2-scopes/ - ([before](https://fastapi.tiangolo.com/ko/advanced/security/oauth2-scopes/)) - ([English](https://fastapi.tiangolo.com/advanced/security/oauth2-scopes/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/settings/ - ([before](https://fastapi.tiangolo.com/ko/advanced/settings/)) - ([English](https://fastapi.tiangolo.com/advanced/settings/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/sub-applications/ - ([before](https://fastapi.tiangolo.com/ko/advanced/sub-applications/)) - ([English](https://fastapi.tiangolo.com/advanced/sub-applications/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/templates/ - ([before](https://fastapi.tiangolo.com/ko/advanced/templates/)) - ([English](https://fastapi.tiangolo.com/advanced/templates/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/testing-websockets/ - ([before](https://fastapi.tiangolo.com/ko/advanced/testing-websockets/)) - ([English](https://fastapi.tiangolo.com/advanced/testing-websockets/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/using-request-directly/ - ([before](https://fastapi.tiangolo.com/ko/advanced/using-request-directly/)) - ([English](https://fastapi.tiangolo.com/advanced/using-request-directly/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/websockets/ - ([before](https://fastapi.tiangolo.com/ko/advanced/websockets/)) - ([English](https://fastapi.tiangolo.com/advanced/websockets/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/advanced/wsgi/ - ([before](https://fastapi.tiangolo.com/ko/advanced/wsgi/)) - ([English](https://fastapi.tiangolo.com/advanced/wsgi/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/alternatives/ - ([before](https://fastapi.tiangolo.com/ko/alternatives/)) - ([English](https://fastapi.tiangolo.com/alternatives/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/async/ - ([before](https://fastapi.tiangolo.com/ko/async/)) - ([English](https://fastapi.tiangolo.com/async/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/benchmarks/ - ([before](https://fastapi.tiangolo.com/ko/benchmarks/)) - ([English](https://fastapi.tiangolo.com/benchmarks/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/ - ([before](https://fastapi.tiangolo.com/ko/deployment/)) - ([English](https://fastapi.tiangolo.com/deployment/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/cloud/ - ([before](https://fastapi.tiangolo.com/ko/deployment/cloud/)) - ([English](https://fastapi.tiangolo.com/deployment/cloud/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/concepts/ - ([before](https://fastapi.tiangolo.com/ko/deployment/concepts/)) - ([English](https://fastapi.tiangolo.com/deployment/concepts/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/docker/ - ([before](https://fastapi.tiangolo.com/ko/deployment/docker/)) - ([English](https://fastapi.tiangolo.com/deployment/docker/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/fastapicloud/ - ([before](https://fastapi.tiangolo.com/ko/deployment/fastapicloud/)) - ([English](https://fastapi.tiangolo.com/deployment/fastapicloud/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/https/ - ([before](https://fastapi.tiangolo.com/ko/deployment/https/)) - ([English](https://fastapi.tiangolo.com/deployment/https/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/manually/ - ([before](https://fastapi.tiangolo.com/ko/deployment/manually/)) - ([English](https://fastapi.tiangolo.com/deployment/manually/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/server-workers/ - ([before](https://fastapi.tiangolo.com/ko/deployment/server-workers/)) - ([English](https://fastapi.tiangolo.com/deployment/server-workers/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/deployment/versions/ - ([before](https://fastapi.tiangolo.com/ko/deployment/versions/)) - ([English](https://fastapi.tiangolo.com/deployment/versions/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/environment-variables/ - ([before](https://fastapi.tiangolo.com/ko/environment-variables/)) - ([English](https://fastapi.tiangolo.com/environment-variables/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/fastapi-cli/ - ([before](https://fastapi.tiangolo.com/ko/fastapi-cli/)) - ([English](https://fastapi.tiangolo.com/fastapi-cli/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/features/ - ([before](https://fastapi.tiangolo.com/ko/features/)) - ([English](https://fastapi.tiangolo.com/features/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/help-fastapi/ - ([before](https://fastapi.tiangolo.com/ko/help-fastapi/)) - ([English](https://fastapi.tiangolo.com/help-fastapi/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/history-design-future/ - ([before](https://fastapi.tiangolo.com/ko/history-design-future/)) - ([English](https://fastapi.tiangolo.com/history-design-future/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/ - ([before](https://fastapi.tiangolo.com/ko/how-to/)) - ([English](https://fastapi.tiangolo.com/how-to/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/authentication-error-status-code/ - ([before](https://fastapi.tiangolo.com/ko/how-to/authentication-error-status-code/)) - ([English](https://fastapi.tiangolo.com/how-to/authentication-error-status-code/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/conditional-openapi/ - ([before](https://fastapi.tiangolo.com/ko/how-to/conditional-openapi/)) - ([English](https://fastapi.tiangolo.com/how-to/conditional-openapi/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/configure-swagger-ui/ - ([before](https://fastapi.tiangolo.com/ko/how-to/configure-swagger-ui/)) - ([English](https://fastapi.tiangolo.com/how-to/configure-swagger-ui/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/custom-docs-ui-assets/ - ([before](https://fastapi.tiangolo.com/ko/how-to/custom-docs-ui-assets/)) - ([English](https://fastapi.tiangolo.com/how-to/custom-docs-ui-assets/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/custom-request-and-route/ - ([before](https://fastapi.tiangolo.com/ko/how-to/custom-request-and-route/)) - ([English](https://fastapi.tiangolo.com/how-to/custom-request-and-route/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/extending-openapi/ - ([before](https://fastapi.tiangolo.com/ko/how-to/extending-openapi/)) - ([English](https://fastapi.tiangolo.com/how-to/extending-openapi/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/general/ - ([before](https://fastapi.tiangolo.com/ko/how-to/general/)) - ([English](https://fastapi.tiangolo.com/how-to/general/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/graphql/ - ([before](https://fastapi.tiangolo.com/ko/how-to/graphql/)) - ([English](https://fastapi.tiangolo.com/how-to/graphql/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/migrate-from-pydantic-v1-to-pydantic-v2/ - ([before](https://fastapi.tiangolo.com/ko/how-to/migrate-from-pydantic-v1-to-pydantic-v2/)) - ([English](https://fastapi.tiangolo.com/how-to/migrate-from-pydantic-v1-to-pydantic-v2/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/how-to/testing-database/ - ([before](https://fastapi.tiangolo.com/ko/how-to/testing-database/)) - ([English](https://fastapi.tiangolo.com/how-to/testing-database/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/project-generation/ - ([before](https://fastapi.tiangolo.com/ko/project-generation/)) - ([English](https://fastapi.tiangolo.com/project-generation/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/python-types/ - ([before](https://fastapi.tiangolo.com/ko/python-types/)) - ([English](https://fastapi.tiangolo.com/python-types/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/)) - ([English](https://fastapi.tiangolo.com/tutorial/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/background-tasks/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/background-tasks/)) - ([English](https://fastapi.tiangolo.com/tutorial/background-tasks/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/bigger-applications/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/bigger-applications/)) - ([English](https://fastapi.tiangolo.com/tutorial/bigger-applications/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/body-nested-models/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/body-nested-models/)) - ([English](https://fastapi.tiangolo.com/tutorial/body-nested-models/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/body-updates/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/body-updates/)) - ([English](https://fastapi.tiangolo.com/tutorial/body-updates/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/body/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/body/)) - ([English](https://fastapi.tiangolo.com/tutorial/body/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/cors/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/cors/)) - ([English](https://fastapi.tiangolo.com/tutorial/cors/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/debugging/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/debugging/)) - ([English](https://fastapi.tiangolo.com/tutorial/debugging/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/dependencies/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/dependencies/)) - ([English](https://fastapi.tiangolo.com/tutorial/dependencies/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/dependencies/dependencies-in-path-operation-decorators/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/dependencies/dependencies-in-path-operation-decorators/)) - ([English](https://fastapi.tiangolo.com/tutorial/dependencies/dependencies-in-path-operation-decorators/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/dependencies/dependencies-with-yield/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/dependencies/dependencies-with-yield/)) - ([English](https://fastapi.tiangolo.com/tutorial/dependencies/dependencies-with-yield/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/dependencies/global-dependencies/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/dependencies/global-dependencies/)) - ([English](https://fastapi.tiangolo.com/tutorial/dependencies/global-dependencies/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/encoder/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/encoder/)) - ([English](https://fastapi.tiangolo.com/tutorial/encoder/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/extra-data-types/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/extra-data-types/)) - ([English](https://fastapi.tiangolo.com/tutorial/extra-data-types/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/extra-models/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/extra-models/)) - ([English](https://fastapi.tiangolo.com/tutorial/extra-models/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/first-steps/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/first-steps/)) - ([English](https://fastapi.tiangolo.com/tutorial/first-steps/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/handling-errors/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/handling-errors/)) - ([English](https://fastapi.tiangolo.com/tutorial/handling-errors/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/metadata/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/metadata/)) - ([English](https://fastapi.tiangolo.com/tutorial/metadata/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/middleware/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/middleware/)) - ([English](https://fastapi.tiangolo.com/tutorial/middleware/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/path-operation-configuration/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/path-operation-configuration/)) - ([English](https://fastapi.tiangolo.com/tutorial/path-operation-configuration/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/path-params-numeric-validations/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/path-params-numeric-validations/)) - ([English](https://fastapi.tiangolo.com/tutorial/path-params-numeric-validations/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/path-params/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/path-params/)) - ([English](https://fastapi.tiangolo.com/tutorial/path-params/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/query-params-str-validations/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/query-params-str-validations/)) - ([English](https://fastapi.tiangolo.com/tutorial/query-params-str-validations/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/query-params/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/query-params/)) - ([English](https://fastapi.tiangolo.com/tutorial/query-params/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/request-files/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/request-files/)) - ([English](https://fastapi.tiangolo.com/tutorial/request-files/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/request-form-models/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/request-form-models/)) - ([English](https://fastapi.tiangolo.com/tutorial/request-form-models/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/request-forms-and-files/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/request-forms-and-files/)) - ([English](https://fastapi.tiangolo.com/tutorial/request-forms-and-files/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/request-forms/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/request-forms/)) - ([English](https://fastapi.tiangolo.com/tutorial/request-forms/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/response-model/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/response-model/)) - ([English](https://fastapi.tiangolo.com/tutorial/response-model/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/response-status-code/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/response-status-code/)) - ([English](https://fastapi.tiangolo.com/tutorial/response-status-code/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/schema-extra-example/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/schema-extra-example/)) - ([English](https://fastapi.tiangolo.com/tutorial/schema-extra-example/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/security/first-steps/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/security/first-steps/)) - ([English](https://fastapi.tiangolo.com/tutorial/security/first-steps/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/security/oauth2-jwt/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/security/oauth2-jwt/)) - ([English](https://fastapi.tiangolo.com/tutorial/security/oauth2-jwt/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/security/simple-oauth2/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/security/simple-oauth2/)) - ([English](https://fastapi.tiangolo.com/tutorial/security/simple-oauth2/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/sql-databases/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/sql-databases/)) - ([English](https://fastapi.tiangolo.com/tutorial/sql-databases/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/static-files/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/static-files/)) - ([English](https://fastapi.tiangolo.com/tutorial/static-files/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/tutorial/testing/ - ([before](https://fastapi.tiangolo.com/ko/tutorial/testing/)) - ([English](https://fastapi.tiangolo.com/tutorial/testing/))
* https://c88f7dcb.fastapitiangolo.pages.dev/ko/virtual-environments/ - ([before](https://fastapi.tiangolo.com/ko/virtual-environments/)) - ([English](https://fastapi.tiangolo.com/virtual-environments/))
",
