repo,pr_number,author,diff_hunk,review_comment,label
psf/requests,7314,nateprewitt,,"You are seeing this message because GitHub Code Scanning has recently been set up for this repository, or this pull request contains the workflow file for the Code Scanning tool.

### What Enabling Code Scanning Means:

- The 'Security' tab will display more code scanning analysis results (e.g., for the default branch).
- Depending on your configuration and choice of analysis tool, future pull requests will be annotated with code scanning analysis results.
- You will be able to see the analysis results for the pull request's branch on this [overview](/psf/requests/security/code-scanning?query=pr%3A7314+is%3Aopen) once the scans have completed and the checks have passed.

For more information about GitHub Code Scanning, check out [the documentation](https://docs.github.com/code-security/code-scanning/introduction-to-code-scanning/about-code-scanning).
",
psf/requests,7227,Rohan5commit,"@@ -45,7 +45,7 @@ Chris Adams gave an excellent summary on
     for, oh, about 0.0001% of the awesomeness.
 
     1. http://code.google.com/p/httplib2/issues/detail?id=96 is a good example:
-    an annoying bug which affect many people, there was a fix available for
+    an annoying bug that affected many people, there was a fix available for","This sentence is still a comma splice (""...affected many people, there was...""). Consider splitting it into two sentences or using a semicolon/""and"" to make the grammar correct.
```suggestion
    an annoying bug that affected many people. There was a fix available for
```",
psf/requests,6553,magsen,,The current formatting looks correct to me. What looks wrong to you? ,
psf/requests,6553,magsen,,"i have some kind of strange underscore

![image](https://github.com/psf/requests/assets/28842337/af8403bd-2ff9-4919-b0d8-49da2b0644de)

In a private firefox without dark theme
![image](https://github.com/psf/requests/assets/28842337/103064f2-39f8-4baa-b3e5-9a942219bb5b)
![image](https://github.com/psf/requests/assets/28842337/565692bd-9290-4a3e-b2c8-321f6cd038f0)

***

https://github.com/psf/requests/blob/main/docs/user/advanced.rst

In the rst preview you can see that this bash code block is not the same as the other bash code bloc
",
psf/requests,6553,magsen,,I cannot replicate that on Firefox on macOS or Linux,
psf/requests,6553,magsen,,"I cannot replicate that on Firefox on macOS or Linux.

I would be willing to entertain a PR, however that adds sphinx-prompt to our docs dependencies and switches this to using `.. prompt::` instead because that's more correct ",
psf/requests,6553,magsen,,"I am actually able to replicate this on macOS in Firefox 115.3.1esr (64-bit). It appears whitespace in these blocks are being replaced with `span` tags with the `w` CSS class from pygments. This adds a faint white (#f8f8f8) underline to each whitespace.

<img width=""327"" alt=""Screenshot 2023-10-18 at 12 26 22 PM"" src=""https://github.com/psf/requests/assets/5271761/249056bc-c256-4784-8d51-0128b9eca4e2"">

I don't however immediately see why this is being added specifically for the bash codeblock. I'm fine moving to the simplified syntax (`::`) (or `.. prompt::` as Ian noted) in this case since the bash formatting doesn't materially change the output, but it would be interesting to understand why it's happening.",
psf/requests,6553,magsen,,"To find out why it's happening I suspect we'll need a pygments bug to investigate.

The span doesn't change what you copy out of the text though ",
psf/requests,7239,dan-blanchard,,"Those are some pretty impressive results, @dan-blanchard! I'm also excited to see the license update.

I'd like to do some quick testing on the RC before we merge this but I'm fine bumping the limit.

@sigmavirus24 I don't know if you have thoughts but if we ship this with relatively low friction, I'd be inclined to move back to chardet entirely to avoid the mess we have now.",
psf/requests,7239,dan-blanchard,,"Sounds good to me! And if you find any blind spots that all my tests have missed, let me know.",
psf/requests,7239,dan-blanchard,,Agreed especially given the other non-technical issues we've had. ,
psf/requests,7239,dan-blanchard,,"Looks good, thanks again @dan-blanchard!",
psf/requests,6897,cjwatson,,"Let me know if you'd rather I dropped the ""Regenerate test certificates"" commit - but I thought it would be less confusing if the test certificates were consistent with the code that generates them.",
psf/requests,6897,cjwatson,,The pypy-3.9 Windows failure seems unrelated to this change.,
psf/requests,7220,aminvakil,,"Seems like there isn't a test regarding `chardet` in https://github.com/aminvakil/requests/actions/runs/22280614693/job/64450537467.

I do not see `chardet` getting installed.",
